x_utm,y_utm,value
347792.43313307303,5810155.006805061,
347802.43313307303,5810155.006805061,
347182.43313307303,5810145.006805061,
347192.43313307303,5810145.006805061,
347202.43313307303,5810145.006805061,
347212.43313307303,5810145.006805061,
347222.43313307303,5810145.006805061,
347232.43313307303,5810145.006805061,
347242.43313307303,5810145.006805061,
347252.43313307303,5810145.006805061,
347262.43313307303,5810145.006805061,
347272.43313307303,5810145.006805061,
347282.43313307303,5810145.006805061,
347292.43313307303,5810145.006805061,
347302.43313307303,5810145.006805061,
347672.43313307303,5810145.006805061,
347682.43313307303,5810145.006805061,
347692.43313307303,5810145.006805061,
347702.43313307303,5810145.006805061,
347712.43313307303,5810145.006805061,
347722.43313307303,5810145.006805061,
347732.43313307303,5810145.006805061,
347742.43313307303,5810145.006805061,
347752.43313307303,5810145.006805061,
347762.43313307303,5810145.006805061,
347772.43313307303,5810145.006805061,
347782.43313307303,5810145.006805061,
347792.43313307303,5810145.006805061,
347802.43313307303,5810145.006805061,
347182.43313307303,5810135.006805061,
347192.43313307303,5810135.006805061,
347202.43313307303,5810135.006805061,
347212.43313307303,5810135.006805061,
347222.43313307303,5810135.006805061,
347232.43313307303,5810135.006805061,
347242.43313307303,5810135.006805061,
347252.43313307303,5810135.006805061,
347262.43313307303,5810135.006805061,
347272.43313307303,5810135.006805061,
347282.43313307303,5810135.006805061,
347292.43313307303,5810135.006805061,
347302.43313307303,5810135.006805061,
347672.43313307303,5810135.006805061,
347682.43313307303,5810135.006805061,
347692.43313307303,5810135.006805061,
347702.43313307303,5810135.006805061,
347712.43313307303,5810135.006805061,
347722.43313307303,5810135.006805061,
347732.43313307303,5810135.006805061,
347742.43313307303,5810135.006805061,
347752.43313307303,5810135.006805061,
347762.43313307303,5810135.006805061,
347772.43313307303,5810135.006805061,
347782.43313307303,5810135.006805061,
347792.43313307303,5810135.006805061,
347802.43313307303,5810135.006805061,
347182.43313307303,5810125.006805061,
347192.43313307303,5810125.006805061,
347202.43313307303,5810125.006805061,
347212.43313307303,5810125.006805061,
347222.43313307303,5810125.006805061,
347232.43313307303,5810125.006805061,
347242.43313307303,5810125.006805061,
347252.43313307303,5810125.006805061,
347262.43313307303,5810125.006805061,
347272.43313307303,5810125.006805061,
347282.43313307303,5810125.006805061,
347292.43313307303,5810125.006805061,
347302.43313307303,5810125.006805061,
347662.43313307303,5810125.006805061,
347672.43313307303,5810125.006805061,
347682.43313307303,5810125.006805061,
347692.43313307303,5810125.006805061,
347702.43313307303,5810125.006805061,
347712.43313307303,5810125.006805061,
347722.43313307303,5810125.006805061,
347732.43313307303,5810125.006805061,
347742.43313307303,5810125.006805061,
347752.43313307303,5810125.006805061,
347762.43313307303,5810125.006805061,
347772.43313307303,5810125.006805061,
347782.43313307303,5810125.006805061,
347792.43313307303,5810125.006805061,
347182.43313307303,5810115.006805061,
347192.43313307303,5810115.006805061,
347202.43313307303,5810115.006805061,
347212.43313307303,5810115.006805061,
347222.43313307303,5810115.006805061,
347232.43313307303,5810115.006805061,
347242.43313307303,5810115.006805061,
347252.43313307303,5810115.006805061,
347262.43313307303,5810115.006805061,
347272.43313307303,5810115.006805061,
347282.43313307303,5810115.006805061,
347292.43313307303,5810115.006805061,
347302.43313307303,5810115.006805061,
347312.43313307303,5810115.006805061,
347322.43313307303,5810115.006805061,
347332.43313307303,5810115.006805061,
347342.43313307303,5810115.006805061,
347352.43313307303,5810115.006805061,
347362.43313307303,5810115.006805061,
